location,frequency
PG,19
BB,18
FJ,18
HR,18
BT,18
IQ,17
JO,17
UZ,16
JM,16
GQ,16
PW,15
GT,15
MG,15
BO,15
LU,14
MX,14
SC,14
KG,14
NE,14
VC,14
IN,14
WS,14
BS,14
DO,14
DJ,14
CH,14
ME,13
LR,13
KI,13
HN,13
AO,13
GA,13
DE,13
CU,13
TL,13
MN,13
RO,13
MM,13
SE,13
TO,13
NA,13
NI,13
TV,13
ZA,13
ZM,13
KP,12
MW,12
YE,12
PL,12
FI,12
CZ,12
ET,12
MC,12
SN,12
LB,12
BE,12
CO,12
BG,12
LI,12
BR,12
UY,12
BY,12
KE,12
BH,12
AF,12
UG,12
TR,11
SZ,11
AL,11
GB,11
NL,11
SA,11
BF,11
VU,11
BW,11
KM,11
MR,11
DM,11
TW,11
QA,11
AD,11
FR,11
NZ,11
MH,11
TN,11
SL,11
MV,11
NG,11
GM,10
VA,10
PH,10
AG,10
TT,10
NO,10
GE,10
AZ,10
MK,10
AU,10
FM,10
IT,10
BI,10
ER,10
HT,10
US,10
PA,10
VE,10
RW,10
BZ,10
GR,10
SK,10
SG,10
CL,10
MD,10
GN,10
PS,10
CV,10
PY,10
CN,9
MA,9
DZ,9
RU,9
LT,9
CI,9
AR,9
TG,9
VN,9
CY,9
CD,9
NP,9
IE,9
LK,9
GW,9
KW,9
AT,9
NR,9
SM,9
IL,8
CR,8
BJ,8
TH,8
KR,8
BA,8
KN,8
SB,8
LC,8
UA,8
CA,8
IR,8
ES,8
GD,8
MU,8
KZ,8
SY,8
CF,8
ST,8
MZ,8
PT,7
TZ,7
RS,7
PK,7
TD,7
ID,7
AM,7
OM,7
HU,7
LY,7
IS,7
DK,7
MT,7
ML,7
TJ,7
MY,7
BD,7
AE,7
ZW,7
LA,7
CG,7
LV,6
LS,6
KH,6
GY,6
TM,6
BN,6
SV,6
EG,6
JP,6
CM,5
SO,5
SR,5
SI,5
SD,4
EE,3
EC,3
PE,3
GH,3
